"ViolentCrimesPerPop","state","racepctblack","PctEmploy","MalePctNevMarr","PctWorkMom","PctIlleg","NumInShelters","PctPopUnderPov","NumStreet"
"36",0.24,18,0.19,0.43,0.37,0.66,0.32,0.05,0.38,0.01
"37",0.11,6,0.06,0.59,0.37,0.61,0.11,0,0.1,0
"38",0.22,41,0.01,0.19,0.28,0.34,0.3,0.01,0.59,0
"39",0.13,40,0.24,0.45,0.3,0.38,0.23,0.01,0.48,0
"40",0.07,34,0.21,0.98,0.6,0.41,0.22,0,0.02,0
"41",0.11,34,0.01,0.35,0.26,0.32,0.07,0,0.1,0
"42",0.06,44,0.08,0.49,0.39,0.72,0.13,0,0.17,0
"43",0.8,1,1,0.33,0.42,0.83,0.39,0,0.54,0.01
"44",0.22,6,0.02,0.6,0.4,0.47,0.17,0,0.17,1
"45",0.17,34,0.02,0.48,0.41,0.11,0.06,0.01,0.07,0
"46",0.16,8,0.02,0.56,0.73,0.55,0.11,0.02,0.44,0.02
"47",0.2,34,0.45,0.58,0.42,0.62,0.34,0.07,0.18,0
"48",0.12,35,0.03,0.3,0.24,0.23,0.27,0,0.57,0
"49",0.11,8,0.02,0.62,0.37,0.71,0.09,0,0.18,0
"50",0.12,33,0.01,0.44,0.32,0.65,0.23,0,0.34,0
"51",0.2,18,0.17,0.41,0.32,0.48,0.23,0.04,0.43,0
"52",0.68,6,0.14,0.51,0.54,0.37,0.32,0.1,0.31,0.03
"53",0.23,34,0.29,0.52,0.42,0.45,0.27,0,0.13,0
"54",0.05,34,0.01,0.59,0.35,0.36,0.05,0,0.05,0
"55",0.1,39,0.02,0.38,0.28,0.4,0.12,0,0.43,0
"56",0.28,48,0.1,0.24,0.24,0.35,0.22,0,0.61,0
"57",0.22,6,0.05,0.69,0.45,0.6,0.13,0.03,0.16,0.01
"58",0.22,53,0.01,0.33,0.31,0.34,0.14,0.01,0.43,0
"59",0.55,1,0.48,0.57,0.45,0.54,0.28,0.17,0.3,0.09
"60",0.05,34,0,0.57,0.47,0.74,0.09,0,0.1,0
"61",0.03,34,0.01,0.55,0.39,0.29,0.03,0,0.08,0
"62",0.07,51,0.25,0.37,0.38,0.68,0.24,0.02,0.3,0
"63",0.07,41,0.01,0.38,0.45,0.57,0.2,0,0.5,0
"64",0.57,4,0.1,0.48,0.35,0.5,0.34,0.03,0.46,0.09
"65",0.37,6,0.19,0.08,0.31,0.18,0.31,0.02,0.44,0
"66",0.14,6,0.01,0.78,0.63,0.53,0.06,0,0.09,0
"67",0.61,37,0.48,0.5,0.38,0.58,0.48,0.05,0.37,0.03
"68",0.03,34,0.07,0.73,0.52,0.24,0.11,0,0.08,0
"69",0.5,34,0.23,0.47,0.61,0.58,0.67,0.01,0.4,0
"70",0.05,36,0.01,0.43,0.4,0.56,0.21,0,0.25,0
"71",0.04,29,0.05,0.6,0.31,0.25,0.04,0,0.04,0
"72",0.21,6,0.02,0.66,0.38,0.6,0.09,0.04,0.1,0.06
"73",0.05,19,0.02,0.49,0.7,0.56,0.17,0,0.44,0
"74",0.02,9,0.01,0.72,0.32,0.58,0.04,0,0.06,0
"75",0.14,9,0.08,0.58,0.46,0.63,0.27,0.02,0.18,0.01
"76",0.18,25,0.02,0.21,0.29,0.54,0.15,0.01,0.24,0
"77",0.12,40,0.21,0.47,0.28,0.63,0.31,0,0.39,0
"78",0.68,48,0.82,0.19,0.39,0.4,0.32,0.01,0.75,0
"79",0.7,8,0.04,0.23,0.39,0.38,0.3,0.05,0.57,0.13
"80",0.75,8,0.22,0.77,0.4,0.72,0.25,0.03,0.19,0
"81",0.3,36,0.27,0.44,0.54,0.24,0.5,0.15,0.28,0.02
"82",0.24,49,0.05,0.41,0.39,0.56,0.21,0.12,0.44,0.14
"83",1,48,0.21,0.32,0.36,0.78,0.16,0,0.52,0
"84",0,39,0,0.43,0.24,0.41,0.04,0,0.09,0
"85",0.03,46,0.01,0.42,1,0.6,0.27,0,0.82,0
"86",0.06,29,0.04,0.32,0.3,0.53,0.04,0,0.31,0
"87",0.08,4,0,0.3,0.13,0.62,0.06,0,0.2,0
"88",0.1,6,0.02,0.21,0.35,0.51,0.04,0,0.11,0
"89",0.27,41,0,0.29,0.28,0.51,0.29,0,0.49,0
"90",0.15,6,0.01,0.25,0.2,0.36,0.13,0.03,0.19,0
"91",0.63,12,0.2,0.72,0.59,0.78,0.16,0,0.27,0.26
"92",0.05,28,0.33,0.69,0.44,0.73,0.32,0,0.24,0
"93",0.03,44,0.01,0.57,0.36,0.25,0.11,0,0.11,0
"94",0.12,41,0.01,0.57,0.33,0.75,0.03,0,0.09,0
"95",0.4,6,0.05,0.69,0.51,0.61,0.12,0.01,0.22,0
"96",0.37,25,0.08,0.56,0.63,0.5,0.28,0.07,0.19,0.01
"97",0.45,6,0.03,0.34,0.46,0.39,0.16,0.1,0.49,0.06
"98",0.04,19,0.05,0.51,1,0.6,0.12,0.01,0.64,0
"99",0.09,9,0.03,0.65,0.36,0.68,0.07,0,0.03,0
"100",0.09,33,0.02,0.59,0.5,0.73,0.24,0.09,0.23,0
"101",0.39,40,0.38,0.47,0.29,0.45,0.25,0.04,0.42,0
"102",0.02,34,0.05,0.51,0.46,0.52,0.13,0,0.12,0
"103",0.34,12,0.17,0.37,0.36,0.59,0.23,0.05,0.28,0.22
"104",0.28,48,0.12,0.52,0.27,0.52,0.2,0.16,0.44,0.05
"105",0.08,46,0.02,0.58,0.4,0.9,0.16,0,0.31,0
"106",0.44,22,0.68,0.03,0.37,0.4,0.56,0,0.99,0
"107",0.24,6,0.04,0.4,1,0.57,0.14,0.07,0.73,0
"108",0.09,42,0.09,0.74,0.4,0.66,0.18,0,0.04,0
"109",0.26,48,0.23,0.4,0.31,0.48,0.15,0,0.58,0
"110",0.4,4,0.08,0.43,0.58,0.52,0.35,0.26,0.53,0.23
"111",0.56,12,0.39,0.26,0.28,0.67,0.4,0.01,0.24,0.03
"112",0.05,42,0.02,0.51,0.24,0.71,0.04,0,0.09,0
"113",0.06,25,0.03,0.68,0.51,0.63,0.09,0,0.09,0
"114",0.2,6,0.05,0.69,0.67,0.58,0.19,0.07,0.15,0
"115",0.51,6,0.1,0.27,0.43,0.23,0.4,0.14,0.43,0.05
"116",0.04,34,0.05,0.68,0.32,0.27,0.03,0,0.07,0
"117",0.86,6,1,0.52,0.71,0.49,0.97,0.01,0.43,0.22
"118",0.05,42,0.02,0.5,0.38,0.36,0.02,0,0.09,0
"119",0.06,12,0.07,0.27,0.24,0.57,0.1,0,0.17,0
"120",0.68,6,0.09,0.59,0.73,0.43,0.29,0.19,0.24,0.84
"121",0.22,12,0.08,0.69,0.36,0.59,0.17,0,0.19,0
"122",0.05,34,0.22,0.63,0.36,0.43,0.05,0,0.02,0
"123",0.03,39,0.01,0.63,0.35,0.67,0.07,0,0.08,0
"124",0.09,45,0.28,0.79,0.3,0.74,0.16,0,0.08,0
"125",0.17,33,0.01,0.55,0.55,0.71,0.14,0,0.2,0
"126",0.17,39,0.02,0.44,0.35,0.54,0.11,0,0.19,0
"127",0.17,42,0.11,0.72,0.34,0.62,0.08,0,0.06,0
"128",0.14,6,0.12,0.45,0.48,0.4,0.16,0.02,0.3,0.05
"129",0.62,6,0.01,0.46,0.48,0.5,0.37,0.07,0.4,0.06
"130",0.03,39,0.03,0.34,0.21,0.5,0.04,0,0.19,0
"131",0.23,28,0.98,0.19,0.44,0.5,0.85,0,0.85,0
"132",0.15,25,0.01,0.7,0.43,0.59,0.18,0,0.24,0
"133",0.13,16,0.01,0.49,0.34,0.74,0.13,0,0.42,0
"134",0.27,6,0.03,0.57,0.46,0.51,0.14,0,0.09,0
"135",0.08,34,0.03,0.51,0.43,0.55,0.09,0,0.11,0
"136",0.06,34,0.03,0.54,0.42,0.4,0.07,0,0.04,0
"137",0.09,25,0.02,0.58,0.28,0.59,0.03,0,0.08,0
"138",0.16,6,0.04,0.77,0.6,0.61,0.19,0,0.14,0
"139",0.38,47,0.41,0.35,0.3,0.54,0.31,0,0.45,0
"140",0.02,6,0.02,0.49,0.2,0.24,0.03,0,0.05,0
"141",0.08,6,0.19,0.22,0.78,0.59,0.06,0,0.12,0
"142",0.09,33,0.02,0.71,0.4,0.66,0.08,0,0.09,0
"143",0.3,5,0.82,0.45,0.41,0.62,0.77,0.01,0.61,0
"144",0.05,34,0.01,0.69,0.27,0.32,0.05,0,0.06,0
"145",0.17,6,0.03,0.65,0.38,0.57,0.21,0.02,0.26,0
"146",0.53,25,0.05,0.43,0.71,0.4,0.46,0.11,0.47,0.11
"147",1,22,0.86,0.38,0.68,0.53,0.81,0.08,0.7,0.02
"148",0.05,42,0.03,0.3,0.46,0.49,0.31,0,0.4,0
"149",0.63,12,0.57,0.32,0.39,0.64,0.44,0,0.43,0
"150",1,12,0.41,0.47,0.26,0.41,0.37,0,0.47,0.01
"151",0.21,48,0.09,0.49,0.37,0.61,0.15,0.14,0.49,0
"152",0.86,37,0.75,0.48,0.43,0.44,0.53,0.06,0.49,0.07
"153",0.03,39,0.01,0.46,0.24,0.35,0.05,0,0.19,0
"154",0.26,44,0,0.58,0.32,0.67,0.08,0,0.08,0
"155",0.87,12,0.75,0.23,0.4,0.53,0.46,0,0.66,0.08
"156",0.44,34,0.4,0.48,0.65,0.6,0.97,0.01,0.45,0.03
"157",0.03,6,0.01,0.61,0.33,0.38,0.07,0,0.1,0
"158",0.73,37,1,0.4,0.49,0.72,0.77,0,0.64,0
"159",0.48,12,0.17,0.34,0.32,0.62,0.25,0.13,0.27,0.08
"160",0.06,40,0.03,0.64,0.16,0.55,0.09,0,0.22,0
"161",0.07,29,0.04,0.23,0.93,0.46,0.1,0,0.59,0
"162",0.03,9,0.02,0.67,0.41,0.55,0.03,0.06,0.08,0.08
"163",0.17,25,0.01,0.5,0.5,0.5,0.09,0,0.09,0
"164",0.11,25,0.02,0.53,0.54,0.48,0.09,0,0.11,0
"165",0.05,34,0.07,0.54,0.3,0.55,0.03,0,0.05,0
"166",0.25,6,0.07,0.68,0.41,0.51,0.17,0,0.13,0
"167",0.05,51,0.08,0.14,1,0.39,0.15,0,1,0
"168",0.15,48,0.05,0.38,0.25,0.36,0.11,0.01,0.4,0
"169",0.46,37,0.69,0.35,0.5,0.67,0.47,0.01,0.41,0
"170",0.45,39,0.06,0.39,0.29,0.42,0.19,0,0.41,0
"171",0.23,54,0.13,0.14,0.48,0.33,0.2,0.04,0.61,0.01
"172",0.08,42,0.03,0.54,0.28,0.43,0.11,0,0.09,0
"173",0.08,18,0.01,0.49,0.29,0.79,0.12,0.01,0.3,0
"174",0.2,48,0.01,0.26,0.54,0.33,0.28,0,0.9,0
"175",0.73,25,0.16,0.4,0.61,0.39,0.51,0.12,0.42,0.38
"176",0.17,34,0.13,0.56,0.49,0.53,0.09,0.03,0.07,0
"177",0.07,42,0.01,0.7,0.25,0.49,0.04,0,0.04,0
"178",0.83,34,0.58,0.43,0.78,0.31,0.9,0.27,0.5,0.61
"179",0.1,53,0.01,0.31,0.3,0.49,0.14,0.02,0.36,0
"180",0.25,40,0.19,0.6,0.22,0.81,0.08,0,0.17,0
"181",0.12,39,0.37,0.43,0.41,0.69,0.37,0.02,0.4,0
"182",0.25,35,0.02,0.23,0.43,0.27,0.28,0,0.64,0
"183",0.3,48,0.33,0.4,0.36,0.72,0.26,0,0.58,0
"184",0.02,34,0.03,0.56,0.34,0.26,0.03,0.01,0.04,0
"185",0.19,9,0.08,0.65,0.45,0.77,0.17,0.01,0.09,0
"186",0.36,37,0.66,0.63,0.56,0.75,0.48,0.08,0.3,0
"187",0.12,12,0.07,0.73,0.36,0.56,0.13,0,0.12,0
"188",0.01,18,0.01,0.7,0.35,0.33,0.03,0,0.08,0
"189",0.06,42,0.11,0.52,0.32,0.4,0.08,0,0.06,0
"190",0.1,39,0.01,0.7,0.33,0.57,0.06,0,0.09,0
"191",0.1,34,0.12,0.65,0.6,0.69,0.34,0,0.19,0.01
"192",0.21,25,0.04,0.7,0.55,0.63,0.18,0.04,0.14,0
"193",0.1,39,0.09,0.09,1,0.5,0.21,0.06,1,0
"194",0.07,48,0.03,0.88,0.17,0.63,0.07,0,0.04,0
"195",0.02,49,0,0.64,0.32,0.42,0.02,0,0.06,0
"196",0.03,25,0.01,0.69,0.42,0.6,0.07,0,0.04,0
"197",0.01,50,0.01,0.71,0.63,0.81,0.2,0,0.1,0
"198",0.41,13,1,0.4,0.53,0.56,0.74,0.14,0.6,0
"199",0.26,6,0.02,0.36,0.3,0.35,0.18,0.18,0.37,0.65
"200",0.42,37,0.58,0.48,0.4,0.63,0.55,0.01,0.49,0
"201",0.18,12,0.28,0.78,0.45,0.67,0.31,0,0.16,0
"202",0.13,34,0.03,0.58,0.57,0.51,0.01,0,0.06,0.02
"203",0.29,18,0,0.43,0.36,0.28,0.17,0,0.3,0
"204",0.68,6,0.05,0.44,0.59,0.39,0.33,0,0.24,0
"205",0.05,42,0,0.7,0.3,0.86,0.18,0,0.14,0
"206",0.16,41,0.02,0.46,0.61,0.59,0.15,0.27,0.45,0.19
"207",0.26,6,0.03,0.62,0.48,0.45,0.11,0,0.12,0.04
"208",0.19,39,0.03,0.48,0.24,0.75,0.08,0.01,0.23,0
"209",0.03,25,0.01,0.57,0.48,0.53,0.1,0,0.1,0
"210",0.15,45,0.24,0.34,1,0.53,0.14,0,0.76,0
"211",0.29,24,0.62,0.71,0.58,0.9,0.6,0.01,0.16,0.02
"212",0.01,54,0.01,0.42,0.19,0.54,0.03,0,0.13,0
"213",0.66,12,0.25,0.66,0.62,0.67,0.51,0,0.27,0
"214",0.05,34,0.06,0.53,0.55,0.54,0.11,0,0.08,0
"215",0.27,48,0.05,0.64,0.21,0.44,0.09,0,0.18,0
"216",0.49,6,0.01,0.44,0.35,0.32,0.23,0.09,0.33,0.1
"217",0.08,48,0.11,0.81,0.29,0.74,0.09,0,0.23,0
"218",0.04,49,0,0.5,0.26,0.34,0.04,0,0.19,0
"219",0.16,51,0.71,0.35,0.39,0.68,0.53,0.04,0.5,0
"220",0.06,23,0.01,0.6,0.48,0.75,0.11,0,0.18,0
"221",0.04,55,0,0.58,0.54,0.85,0.13,0.01,0.28,0
"222",0.31,36,0.41,0.56,0.51,0.43,0.59,0.03,0.3,0
"223",0.36,42,0.24,0.45,0.71,0.35,0.97,0.2,0.55,0
"224",0.05,39,0,0.42,0.27,0.61,0.04,0,0.11,0
"225",0.16,55,0.01,0.51,0.37,0.64,0.13,0,0.24,0
"226",0.1,1,0.46,0.31,0.29,0.54,0.5,0,0.55,0
"227",0.74,48,0.43,0.24,0.32,0.53,0.4,0,0.68,0
"228",0.19,44,0.07,0.53,0.48,0.71,0.29,0,0.27,0
"229",0.63,45,0.81,0.28,0.63,0.74,0.87,0,0.67,0
"230",0.42,13,0.76,0.5,0.61,0.53,0.73,0.01,0.47,0
"231",0.04,19,0.09,0.29,0.39,0.66,0.16,0,0.33,0
"232",0.06,42,0.02,0.34,0.34,0.43,0.09,0,0.19,0
"233",0.2,53,0,0.38,0.34,0.6,0.13,0.03,0.5,0.01
"234",0.88,9,0.7,0.39,0.9,0.29,1,0.79,0.56,0.04
"235",0.12,25,0.01,0.65,0.43,0.66,0.07,0,0.07,0
"236",0.11,48,0.35,0.46,0.32,0.62,0.26,0,0.43,0
"237",0.27,6,0.37,0.79,0.29,0.41,0.14,0,0.25,0
"238",0.02,55,0.03,0.67,0.34,0.61,0.09,0,0.08,0
"239",0.37,25,0.02,0.52,0.51,0.53,0.19,0.02,0.2,0
"240",0.18,53,0.03,0.6,0.42,0.53,0.24,0,0.28,0.01
"241",0.04,25,0.02,0.61,0.36,0.47,0.08,0,0.06,0
"242",0.12,42,0.03,0.47,0.48,0.65,0.31,0,0.38,0
"243",0.32,6,0.03,0.44,0.36,0.3,0.3,0.04,0.46,0.02
"244",0.54,6,0.02,0.43,0.72,0.06,0.75,0.17,0.6,0.35
"245",0.18,39,0.27,0.4,0.31,0.43,0.21,0.01,0.4,0
"246",0.25,6,0.01,0.5,0.38,0.51,0.12,0.03,0.19,0
"247",0.7,6,0.12,0.56,0.47,0.47,0.42,0,0.24,0
"248",0.22,12,0.01,0.09,0.2,0.59,0.14,0,0.38,0.02
"249",1,45,0.89,0.39,0.55,0.63,0.91,0.07,0.58,0.01
"250",0.03,55,0.01,0.46,0.72,0.6,0.2,0.01,0.56,0
"251",0.74,37,0.62,0.68,0.49,0.63,0.55,0.31,0.28,0.24
"252",0.63,12,0.39,0.3,0.31,0.62,0.39,0.08,0.36,0.07
"253",0.05,18,0.01,0.71,0.24,0.44,0.02,0,0.03,0
"254",0.09,34,0.23,0.59,0.58,0.74,0.34,0.01,0.14,0.09
"255",0.04,42,0.01,0.59,0.26,0.29,0.04,0,0.05,0
"256",0.93,45,0.67,0.71,0.69,0.41,0.7,0.02,0.58,0.02
"257",0.19,29,0.16,0.24,0.25,0.57,0.3,0.02,0.71,0
"258",0.06,42,0.03,0.68,0.31,0.43,0.08,0.03,0.12,0
"259",0.03,54,0.07,0.13,0.31,0.54,0.17,0.01,0.45,0
"260",0.1,48,0.05,0.25,0.34,0.14,0.17,0,0.71,0
"261",0.53,18,0.03,0.48,0.33,0.66,0.17,0,0.26,0
"262",0.59,12,0.44,0.22,0.27,0.61,0.38,0.02,0.35,0.01
"263",0.67,51,1,0.43,0.72,0.57,1,0.17,0.55,0.01
"264",0.01,9,0.08,0.54,0.54,0.64,0.03,0,0.04,0
"265",0.05,44,0.01,0.6,0.33,0.64,0.1,0,0.11,0
"266",0.14,47,0.16,0.42,0.24,0.58,0.11,0,0.24,0
"267",0.35,1,0.83,0.49,0.45,0.64,0.64,0.06,0.48,0.01
"268",0.17,29,0.12,0.52,0.35,0.84,0.21,0,0.21,0
"269",0.05,29,0.03,0.39,0.98,1,0.12,0,0.72,0
"270",0.69,25,0.02,0.45,0.47,0.54,0.24,0.01,0.31,0
"271",0.11,25,0.08,0.61,0.49,0.6,0.1,0,0.11,0
"272",0.24,47,0.09,0.25,0.22,0.25,0.14,0.02,0.48,0
"273",0.35,12,0.18,0.62,0.52,0.8,0.26,0.01,0.33,0
"274",0.27,18,0.44,0.37,0.5,0.69,0.52,0,0.43,0
"275",0.13,25,0.02,0.67,0.43,0.71,0.1,0,0.09,0
"276",0.36,6,0.34,0.56,0.45,0.45,0.41,0.08,0.28,0.08
"277",0.34,1,0.78,0.35,0.39,0.51,0.62,0,0.59,0
"278",0.08,9,0.15,0.51,0.4,0.64,0.18,0,0.08,0.01
"279",0.05,9,0.01,0.56,0.39,0.48,0.15,0,0.17,0
"280",0.03,38,0,0.66,0.39,0.88,0.11,0.03,0.25,0
"281",0.03,48,0.03,0.37,0.72,0.32,0.08,0,0.59,0
"282",0.12,25,0.02,0.2,0.24,0.59,0.19,0,0.27,0
"283",0.06,42,0.01,0.38,0.46,0.55,0.06,0,0.28,0
"284",0.32,8,0.02,0.58,0.44,0.74,0.18,0,0.28,0
"285",0.19,34,0.11,0.47,0.48,0.32,0.32,0,0.21,0
"286",0.14,48,0.61,0.38,0.25,0.59,0.23,0,0.4,0
"287",0.51,34,0.38,0.48,0.6,0.51,0.52,0,0.38,0
"288",0.01,33,0,0.7,0.29,0.74,0.01,0,0.04,0
"289",0.59,48,0.39,0.45,0.29,0.58,0.22,0,0.44,0
"290",0.09,25,0,0.53,0.38,0.81,0.08,0,0.1,0
"291",0.1,34,0.02,0.31,0.24,0.57,0.19,0,0.22,0
"292",0.09,51,0.3,0.18,1,0.63,0.53,0,0.51,0
"293",0.03,42,0.01,0.59,0.5,0.67,0.03,0,0.03,0
"294",0.28,42,0.1,0.44,0.52,0.5,0.49,0.06,0.33,0.03
"295",0.1,39,0.08,0.33,0.33,0.16,0.09,0,0.27,0
"296",0.12,34,0.06,0.63,0.42,0.44,0.13,0,0.07,0
"297",0.67,6,0.27,0.53,0.69,0.22,0.6,0.23,0.44,0.15
"298",0.02,34,0.02,0.65,0.38,0.34,0,0,0,0
"299",0.29,6,0,0.5,0.44,0.51,0.18,0,0.34,0
"300",0.36,53,0.04,0.36,0.44,0.35,0.3,0.11,0.45,0.05
"301",0.11,39,0.09,0.53,0.51,0.68,0.17,0,0.25,0
"302",0.03,1,0.09,0.47,0.18,0.77,0.13,0,0.37,0
"303",0.35,1,0.44,0.44,0.38,0.56,0.45,0,0.45,0
"304",0.25,13,0.21,0.56,0.41,0.68,0.16,0.03,0.39,0
"305",0.06,40,0.04,0.55,0.34,0.64,0.09,0,0.22,0
"306",0.45,6,0.03,0.48,0.48,0.17,0.08,0,0.16,0.01
"307",0.23,48,0.23,0.45,0.35,0.2,0.22,0.01,0.42,0.05
"308",0.32,39,0.21,0.22,0.35,0.4,0.32,0,0.69,0
"309",0.04,34,0.12,0.74,0.33,0.54,0.05,0,0.04,0
"310",0.02,25,0.02,0.54,0.53,0.38,0.03,0,0.08,0
"311",0.16,29,0,0.63,0.31,0.67,0.06,0,0.13,0
"312",0.12,34,0.12,0.65,0.4,0.49,0.19,0.04,0.07,0
"313",0.2,34,0.09,0.43,0.53,0.41,0.2,0,0.22,0.01
"314",0.51,39,0.35,0.25,0.44,0.27,0.42,0.02,0.58,0
"315",0.18,34,0.1,0.7,0.47,0.59,0.17,0.01,0.08,0
"316",0.3,36,0.3,0.27,0.48,0.4,0.5,0.1,0.49,0
"317",0.37,37,0.78,0.54,0.48,0.69,0.91,0.01,0.44,0
"318",0.31,6,0,0.36,0.5,0.51,0.46,0,0.56,0
"319",0.04,39,0.02,0.35,0.36,0.45,0.08,0,0.13,0
"320",0.18,6,0.02,0.38,0.36,0.44,0.2,0.06,0.35,0.01
"321",0.48,21,0.18,0.5,0.43,0.55,0.21,0,0.45,0
"322",0.09,40,0.08,0.26,0.15,0.35,0.09,0,0.49,0
"323",0.07,23,0.01,0.52,0.45,0.71,0.2,0,0.3,0
"324",0.27,48,0.59,0.59,0.23,0.39,0.32,0.01,0.38,0.01
"325",0.3,6,0.05,0.61,0.32,0.47,0.28,0.03,0.23,0.06
"326",0.34,4,0.01,0.3,0.48,0.1,0.42,0.01,0.83,0.02
"327",0.07,19,0.01,0.38,0.33,0.61,0.23,0,0.43,0
"328",0.17,47,0.05,0.71,0.25,0.66,0.07,0,0.1,0
"329",0.17,34,0.36,0.45,0.76,0.48,0.5,0,0.37,0
"330",0.34,6,0.02,0.45,0.56,0.3,0.29,0,0.4,0
"331",0.07,39,0.13,0.71,0.29,0.62,0.11,0,0.1,0
"332",0.35,48,0.05,0.68,0.28,0.66,0.11,0,0.19,0
"333",0.04,34,0.09,0.63,0.35,0.44,0.04,0,0.03,0
"334",1,34,1,0.37,0.81,0.54,1,0.35,0.66,0.05
"335",0.48,48,0.46,0.38,0.28,0.61,0.26,0,0.58,0
"336",0.03,42,0.04,0.54,0.46,0.42,0.06,0.06,0.07,0
"337",0.07,49,0.01,0.39,0.88,0.17,0.08,0.04,0.79,0.02
"338",0.05,39,0.03,0.7,0.35,0.59,0.06,0.01,0.06,0
"339",0.12,9,0.24,0.58,0.53,0.61,0.29,0.04,0.15,0
"340",0.04,48,0.02,0.6,0.27,0.4,0.14,0,0.17,0
"341",0.08,34,0.02,0.47,0.37,0.44,0.08,0.06,0.12,0
"342",0.1,39,0.11,0.39,0.23,0.55,0.15,0,0.12,0
"343",0,25,0.24,0.95,0.68,0.39,0.05,0,0.09,0
"344",0.04,36,0,0.54,0.37,0.67,0.14,0,0.15,0
"345",0.02,55,0,0.59,0.39,0.65,0.2,0,0.25,0
"346",0.18,55,0.01,0.56,0.46,0.59,0.23,0.09,0.35,0
"347",0.58,53,0.2,0.57,0.71,0.57,0.31,1,0.32,0.85
"348",0.08,8,0.01,0.52,0.56,0.6,0.22,0.06,0.51,0
"349",0.04,34,0.02,0.54,0.42,0.23,0.08,0,0.05,0
"350",0.09,53,0.04,0.24,1,0.5,0.16,0,0.93,0
"351",0.06,9,0.05,0.63,0.43,0.71,0.04,0,0.05,0
"352",0.08,39,0.07,0.47,0.49,0.51,0.17,0,0.33,0
"353",0.08,46,0,0.57,0.44,0.81,0.12,0.01,0.32,0
"354",0.1,39,0.04,0.63,0.3,0.64,0.12,0,0.09,0
"355",0.03,49,0,0.57,0.35,0.27,0.03,0,0.23,0
"356",0.28,36,0.16,0.33,0.75,0.67,0.37,0,0.48,0
"357",0.06,25,0.02,0.58,0.43,0.63,0.19,0.05,0.11,0
"358",0.04,34,0.02,0.53,0.4,0.38,0.04,0,0.09,0
"359",0.03,18,0.02,0.38,0.31,0.76,0.11,0,0.42,0.01
"360",0.07,40,0.01,0.73,0.22,0.73,0.01,0,0.09,0
"361",0.41,1,0.41,0.5,0.29,0.43,0.22,0,0.39,0
"362",0.22,29,0.49,0.5,0.37,0.72,0.28,0,0.16,0
"363",1,1,1,0.33,0.56,0.6,0.73,0.32,0.66,0.53
"364",0.1,41,0,0.56,0.36,0.53,0.09,0.01,0.27,0
"365",0.06,41,0.01,0.56,0.26,0.77,0.16,0,0.17,0
