"ViolentCrimesPerPop","population","PctForeignBorn","PctHomeless","PopDens","perCapInc","PctUsePubTrans","PctLess9thGrade","PctRecentImmig","NumInShelters","racepctblack","PctEmploy","MalePctNevMarr","PctWorkMom","PctPopUnderPov","NumStreet","medIncome","PctPersDenseHous"
"Marinacity,CA",644.75,26436,18.34,0,2917.9,11338,1.93,5.8,2.25,0,18.97,75.2,24.55,64.58,9.67,0,29043,11.94
"Lebanoncity,NH",145.2,12183,3.09,0.02,291.4,15012,0.75,5.83,0.71,2,0.41,69.56,28.87,77.15,6.07,0,32221,1.26
"Rockledgecity,FL",560.71,16023,4.63,0,1581.4,15534,0.58,4.07,0.48,0,13.79,64.92,23.08,75.78,5.75,0,34934,2.26
"Rogerscity,AR",204.23,24692,1.43,0,1073.9,12779,0,8.18,0.27,0,0.06,63.1,20.49,75.45,8.72,0,26198,2.8
"Bellairecity,TX",347.97,13842,5.08,0,3697.1,24462,1.11,2.73,0.04,0,0.41,70.55,23.77,74.41,3.33,0,45892,1.36
"ElCajoncity,CA",894.51,88693,9.71,0.1,5943,13518,2.17,6.71,2.01,13,2.92,61.86,31.67,62.42,12.92,76,28108,8.76
"MosesLakecity,WA",1143.9,11235,6.19,0,1189.1,10965,0.09,12.99,1.71,0,1.89,57.18,24.93,71.15,15.28,0,23258,4.87
"WestMemphiscity,AR",724.95,28259,0.66,0.05,1900.7,10009,0.1,15.88,0,13,42.15,59.29,29.48,72.4,22.94,0,22052,6.3
"Eunicecity,LA",1487.34,11162,0.22,0,2323.5,7635,0.78,23.94,0,0,26.96,42.8,25.84,50.89,38.27,0,14874,7.17
"Laredocity,TX",689.42,122899,24.37,0,3608.7,6981,3.55,36.26,3.43,4,0.12,51.36,32.64,52.73,37.29,0,18395,26.43
"Amsterdamcity,NY",49.93,20714,6.03,0.01,3353.7,11991,2.6,12.54,0.64,2,1.46,52.65,29.7,69.23,13.5,0,22166,1.79
"Gorhamtown,ME",16.72,11856,2.58,0,225.9,14049,0.88,3.9,0.07,0,0.37,67.68,32.57,78.54,4.05,0,36618,1.2
"RockSpringscity,WY",649.83,19050,1.72,0.03,998.4,14767,5.76,5.6,0,5,1.17,67.09,25,68.72,8.87,0,34372,2.83
"Oakdalecity,CA",346.97,11961,8.16,0.09,2853.3,11994,0,12.32,1.16,11,0.24,54.22,24.17,61.73,12.63,0,27230,7.42
"Hendersoncity,NC",1770.94,15655,1.15,0,2134,10912,0.11,21.8,0.13,0,52.88,57.23,33.05,75.86,24.07,0,18499,5.05
"Norcocity,CA",609.81,23302,7.18,0,1641.4,15142,0.27,4.93,0.48,0,7.95,48.14,42.59,57.79,5.34,0,51594,6.06
"Greenvillecity,MS",559.55,45226,0.55,0.01,1672.6,9081,0.24,18.51,0.11,6,59.63,51.79,35.15,73.08,31.96,0,18060,9.73
"SanCarloscity,CA",205.56,26167,12.55,0,4486.8,28161,3.98,2.43,0.8,0,0.94,69.33,24.71,71,2.73,0,54658,1.98
"SanAngelocity,TX",512.19,84474,5.38,0.29,1702.6,11353,0.68,14.84,0.42,240,4.8,61.16,27.62,71.83,18.5,1,23534,6.6
"Barbertoncity,OH",734.61,27623,1.44,0,3513.5,10366,1.91,8.47,0.07,0,5.26,51.76,26.78,61.45,16.93,0,21688,1.45
"Suffolkcity,VA",919.33,52141,0.83,0.02,125.8,11831,1.63,17.59,0.09,0,44.58,57.9,27.96,70.29,17.28,10,26125,3.41
"Martinsvillecity,VA",682.23,16162,0.88,0.12,1423.7,13742,0,18.52,0.04,17,36.84,57.4,28.44,77.01,15.61,3,22446,2.44
"Bricktownship,NJ",131.47,66473,4.71,0.03,2441,16523,1.75,5.59,0.26,17,0.63,60.08,25.37,64.45,3.74,0,38742,1.31
"LagunaBeachcity,CA",794.41,23170,11.17,0.24,2575.6,40537,1.97,2.39,1.97,6,0.7,72.93,37.11,70.85,6.14,50,53419,2.34
"Robstowncity,TX",420.91,12849,4.97,0,1345.2,5740,1.23,42.31,0,0,1.85,44.19,30.36,44.65,37.04,0,16180,20.25
"Paragouldcity,AR",92.91,18540,0.26,0.04,616.9,10444,0.23,20.78,0,7,0.09,55.48,19.43,73.04,18.82,0,19985,1.88
"BeverlyHillscity,CA",1087.25,31971,34.82,0.02,5437.2,55463,4.31,3.6,4.73,0,1.7,60.76,32.58,55.66,6.6,5,54348,3.27
"UniversityHeightscity,OH",237.45,14790,10.29,0,7812.2,18705,5.81,3.26,0.74,0,16.34,60.44,36.71,75.55,2.9,0,43376,0.56
"Marioncity,OH",212.87,34075,0.75,0.01,4102.3,10365,1.01,9.68,0,4,4.22,55.48,24.01,66.36,16.85,0,22439,1.68
"Toledocity,OH",984.96,332943,2.78,0.08,3988.5,11894,3,8.57,0.53,260,19.7,55.56,34.15,66.3,19.09,12,24819,1.95
"Philadelphiacity,PA",1279.6,1585577,6.61,0.28,11326,12091,29.31,11.29,1.08,3416,39.86,52.77,42.11,62.23,20.27,1069,24603,4.69
"Newtoncity,MA",256.34,82585,13.03,0.24,4413,28840,12.27,3.72,2.09,196,2.08,67.36,38.4,74.67,4.33,0,59719,0.84
"OrmondBeachcity,FL",142.7,29721,6.05,0,1137.7,18875,0.77,4.72,0.41,0,3.52,51.11,22.21,70.28,6.72,0,32704,1.07
"Lynchburgcity,VA",753.42,66049,1.68,0.07,1290.5,12657,3.33,13.61,0.51,47,26.41,56.27,34.52,72.3,16.45,0,23726,1.83
"Clintoncity,MS",122.69,21847,1.78,0,885.5,14677,0.24,4.37,0.71,0,17.14,70.5,30.77,76.48,9.48,0,36770,2.99
"Andersoncity,SC",1849.3,26184,0.7,0.07,2042.4,10866,0.88,18.33,0.11,12,34.26,54.48,33.31,76.59,19.89,6,19433,3.97
"Mesquitecity,TX",566.64,101484,4.66,0,2286.9,14115,1.22,5.36,0.49,0,5.83,74.16,23.44,76.4,7.73,4,35934,4.75
"ChippewaFallscity,WI",51.91,12727,0.64,0,1249.9,11034,0.19,15.8,0,0,0.11,55.78,32.9,74.49,11.12,0,23056,1.06
"Beavercreekcity,OH",94.97,33626,3.43,0,1260.7,18362,0.34,3.8,0.52,0,0.92,69.01,23.96,69.9,3.51,0,49143,0.45
"Keenecity,NH",422.05,22430,2.65,0,580.3,14246,0.03,6.21,0.2,1,0.28,63.92,35.27,75.69,8.06,0,31235,1.25
"Springfieldtownship,OH",452.4,13352,0.97,0.03,369.6,14243,0.2,8.16,0.04,4,2.55,55.46,22.04,72.52,8.79,0,32713,1.2
"Swissvaleborough,PA",407.12,10637,2.29,0,8564.4,13164,16.83,9.07,0,0,9.69,55.31,35.59,64.4,12.53,0,23773,0.65
"Knoxvillecity,TN",1693.42,165121,1.98,0.29,2063.3,12108,1.93,12.59,0.71,354,15.78,55.4,37,65.69,20.8,130,19923,2.29
"Kernersvilletown,NC",462.24,10836,1.59,0,1451,13997,0,11.55,0.33,0,5.59,71.82,27.19,84.51,8.46,0,25649,1.7
"ScotchPlainstownship,NJ",115.14,21160,10.92,0,2250.1,27093,7.6,4.57,1.08,0,11.1,67.53,27.54,65.23,1.49,0,58194,0.92
"Newingtontown,CT",78.65,29208,10.94,0,2139.7,19668,1.46,8.71,0.53,0,1.41,67.54,28.45,79.94,1.79,0,45481,0.88
"Moberlycity,MO",985.03,12839,0.75,0,1227.9,10475,0.55,14.83,0.09,0,7.24,54.24,23.84,76.08,18.27,0,20569,1.82
"Sandycity,UT",131.68,75058,2.92,0,3625.3,12840,2.34,1.05,0.3,0,0.19,72.82,25.12,65.64,4.21,0,43971,3.24
"Chickashacity,OK",1134.5,14988,1.27,0.11,1057.3,10377,0,13.83,0.19,17,9.78,51.29,22.62,69.09,23.15,0,18357,2.43
"Tucsoncity,AZ",969.6,405390,10.71,0.13,2503.8,11184,4.29,9.36,2.03,437,4.28,58.52,36.79,68.39,20.16,102,21748,7.3
"Gallowaytownship,NJ",251.24,23330,4.16,0,249.1,16302,1.66,5.04,0.25,0,7.36,69.92,36.33,71.3,4.35,0,41944,2.19
"Sweetwatercity,TX",934.12,11967,2.49,0,1329.7,9210,0.58,19.73,0.07,0,5.57,53.98,21.96,65.79,23.02,0,19157,6.25
"Portsmouthcity,NH",377.97,25925,4.04,0.25,1602.6,15557,0.99,3.63,0.36,65,4.6,69.93,34.38,75.1,6.68,0,30591,1.7
"Hulltown,MA",889.65,10466,5.39,0.54,3397.6,16907,8.66,3.69,0.2,56,0.89,65.59,36.62,65.72,8.02,0,37683,1.21
"Scotttownship,PA",40.21,17118,3.07,0,4180.8,18380,11.76,6.29,0.19,0,0.59,63.85,31.24,71.98,4.13,0,34644,0.64
"Duncanvillecity,TX",465.96,35748,3.39,0,3057.5,17060,0.89,3.75,0.2,0,12.06,72.16,24.47,73.78,3.78,0,41028,3.35
"Mexicocity,MO",150.04,11290,0.87,0,1098.7,12249,0.63,15.1,0.15,0,9.4,55.04,21.41,77.08,14.35,0,23744,1.63
"NewProvidenceborough,NJ",49.56,11439,12.51,0,3001.1,29773,7.98,4.91,1.38,0,0.54,69.32,26.68,66.83,2.45,0,62420,0.64
"Barnstabletown,MA",1812.62,40949,5.53,0.68,658.2,17376,1.18,2.92,0.89,273,2.7,57,27.98,68.72,6.78,6,33411,1.46
"Rutherfordborough,NJ",129.13,17790,16.06,0.03,6118.4,20579,18.82,7.01,2.72,5,3.01,62.97,35.32,69.23,3.68,0,46499,2
"Portlandcity,OR",1841.38,437319,7.68,0.39,3386.2,14478,11.41,5.62,1.72,1553,7.67,62.61,35.03,70.4,14.53,149,25592,3.49
"Manassascity,VA",301.31,27957,7.62,0.03,2695.4,18554,1,6.16,0.96,7,10.33,77.22,29.75,74.66,3.79,0,46674,3.13
"Torrancecity,CA",620.53,133107,22.17,0.01,6260.9,22095,1.53,3.85,4.93,0,1.45,67.04,32.32,66.06,5.15,18,47204,6.41
"SouthJordancity,UT",190.84,12220,1.19,0,585.8,10626,1.27,1.7,0,0,0.06,70.81,26.33,62.54,3.21,0,43804,4.84
"RedwoodCitycity,CA",726.59,66072,23.8,0.33,3349.1,20292,3.85,8.12,4.47,91,3.64,69.14,35,73.54,8.3,125,42962,10.47
"Lancastertownship,PA",74.56,13187,5.28,0,2104.5,18645,1.68,10.36,0.82,0,3.03,62.15,24.65,75.28,6.27,0,35855,1.16
"Sebastiancity,FL",339.96,10205,5.5,0,785.2,12165,0,7.04,0.14,0,1.06,48.43,15.28,69.76,6.77,0,26654,1.88
"GrandForkscity,ND",121.02,49425,2.25,0.14,3304.7,11902,0.95,7.24,0.76,70,0.8,66.75,43.87,77.17,14.48,0,25456,1.98
"NewHaventown,CT",2127.02,130474,8.15,1.04,6679.9,12968,9.54,11.86,1.92,1344,36.14,56.71,50.43,60.14,21.29,16,25811,4.9
"Westwegocity,LA",809.39,11218,2,0,3399.4,8262,1.19,28.57,0.17,0,15.59,50.95,26.11,50.26,23.81,0,18095,6.76
"Munstertown,IN",199.2,19949,6.33,0,2553.6,21529,4.44,5.04,0.27,0,0.44,61.56,23.91,66.81,1.27,0,48483,0.57
"Newberrytown,SC",1527.29,10542,0.58,0,1633.9,9397,0,18.7,0.1,0,41.48,51.53,38.79,76.76,25.22,0,19063,4.76
"NorthTonawandacity,NY",85.17,34989,3.38,0,3344,12722,0.62,7.31,0.13,0,0.16,63.82,27.69,74,6.07,0,29576,1.31
"Redlandscity,CA",727.83,60394,10.41,0.2,2398.1,17825,0.37,5.71,1.8,92,3.83,63.25,29.86,64.88,8.98,26,37073,5.37
"Avondalecity,AZ",781.32,16169,10.51,0.21,705.2,8990,0.71,27.72,1.99,0,4.62,55,31.81,56.19,28.22,34,24292,17.88
"Lafayettecity,CO",367.13,14548,5.27,0.06,2035.3,14405,2.24,5.45,0.75,9,0.98,76.18,24.84,75.54,8.43,0,34182,3.52
"Oshkoshcity,WI",155.25,55006,2.84,0.02,2959.7,11843,1.89,8.38,0.47,13,0.79,61.2,38.71,73.08,12.63,0,25168,1.46
"Tukwilacity,WA",1634.34,11874,7.02,0.03,1404.9,15982,8.04,4.32,1.54,2,6.36,72.35,38.73,68.84,9.33,1,30141,4.31
"Dublincity,CA",251.23,23229,8.3,0,2618.2,17056,2.12,1.9,0.66,0,11.49,59.36,38.1,72.22,4.23,0,53710,2.59
"Breacity,CA",367.33,32873,12.45,0.02,3178,21407,0.75,4.6,1.84,5,1.08,72.58,31.27,69.6,3.55,0,51253,5.15
"NorthAugustacity,SC",560.56,15351,1.51,0,904.5,16134,0.16,5.83,0.21,0,15.59,65.69,25.87,70.59,9.28,0,32877,1.82
"Tallahasseecity,FL",1981.45,124773,4.5,0.14,1903.4,13247,2.82,5.59,1.1,148,29.09,63.45,48.87,78.45,22.32,30,23453,4.27
"Princetonborough,NJ",83.89,12016,17.15,0,6306.9,21551,5.17,7.05,5.07,0,8.51,57.12,67.29,66.72,9.64,0,43092,2.85
"Menomoniecity,WI",39.87,13547,3.29,0.04,1161.2,9573,0.22,12.93,1.04,6,1.2,54.07,60.91,71.28,28.82,0,21392,2.54
"Alpharettacity,GA",60.9,13002,4.88,0,659.9,20519,1.14,2.21,1.19,0,2.55,75.34,24.84,67.58,3.73,0,44335,1.01
"Jeffersontownship,NJ",70.4,17825,4.52,0,422.4,19810,2.22,5.05,0.04,0,0.76,74.05,27.12,68.7,2.43,0,48889,1.18
"StevensPointcity,WI",242.54,23006,3.44,0.09,1660.1,10282,0.56,11.51,2.1,21,0.51,56.4,53.01,70.83,21.61,0,22194,1.96
"Woodlandcity,CA",574.24,39802,10.63,0.16,4187.9,13854,0.6,10.84,1.41,57,1.26,64.24,26.88,74.67,9.59,5,31671,9.71
"NorthBrunswicktownship,NJ",288.37,31287,14.98,0.03,2508.1,21734,8.09,6.11,2.3,8,11.07,70.47,34.89,74.43,2.67,0,49900,2.88
"Springfieldcity,OH",1497.92,70487,1.09,0.01,3485.1,10648,1.06,9.79,0.17,2,17.38,53.25,30.85,65.42,20.87,8,21407,2.14
"Corsicanacity,TX",681.32,22911,4.24,0.02,1062.7,10954,0.19,16.58,0.91,5,25.51,53.5,28.83,71.12,21.04,0,21238,5.99
"Wabashcity,IN",194.19,12127,1.1,0.12,2204.9,11170,0.35,10.91,0,14,0.54,61.21,24.33,78.78,11.79,0,25141,1.68
"Woostercity,OH",185.48,22191,2.24,0,1813.5,14283,0.91,6.41,0.66,0,3.49,60.43,32.73,68.31,12.69,0,27148,1.15
"LosAngelescity,CA",2414.77,3485398,38.35,0.22,7168.1,16188,10.92,18.4,7.96,4597,13.99,61.71,43.23,60.83,18.86,3109,30925,22.26
"Harrisontown,NJ",581.57,13425,41.71,0,10587.5,13763,17.27,22.09,7.39,0,0.57,61.36,36.31,63.1,11.55,0,33969,9
"Swanseatown,MA",197,15411,5.39,0,644.9,15100,0.39,12.11,0.18,0,0.34,66.63,29.73,75.23,4.92,0,40117,1.28
"Superiorcity,WI",273.7,27134,1.67,0.05,709,10769,1.77,8.04,0.14,13,0.53,54.86,32.75,67.47,17.1,0,20905,1.1
"Madisontownship,OH",240.92,18749,1.78,0,401.2,13384,1,4.85,0.12,0,2.27,67.86,24.86,72.96,4.1,0,35575,1.87
"Seasidecity,CA",1085.11,38901,17.87,0.06,4254.3,10409,3.56,9.54,4.26,21,23.47,74.2,43.95,64.03,12.22,2,28655,14.61
"Grapevinecity,TX",291.69,29202,2.65,0,901.6,19526,0.28,3.09,0.48,0,1.79,77.58,22.42,70.31,4.24,0,48901,2.61
"Columbiacity,MO",587.55,69101,6.02,0.09,1504.7,12452,1.29,5.02,2.46,57,9.93,60.7,50.96,74.98,22.42,3,22059,2.44
"Lebanoncity,OR",650.49,10950,2.53,0.02,2193.5,10113,0.25,9.34,0.1,0,0.16,51.94,24.05,68.26,18.76,2,20711,3.6
"WestChesterborough,PA",465.66,18041,2.91,0.03,9469.3,13082,2.39,6.38,0.46,6,17.71,64.4,59.7,77.61,17.07,0,31262,3.91
"Eatontownborough,NJ",221.64,13800,10.49,0.38,2251.7,17679,2.34,5.91,1.39,51,12.49,70.74,33.04,66.99,5.14,1,36864,2.74
"Parkersburgcity,WV",216.8,33862,0.8,0.01,2926.2,11269,0.9,13.76,0.1,4,1.7,50.9,25.25,63.04,18.99,1,20461,0.95
"Spokanecity,WA",795.08,177196,3.95,0.18,3058.9,12375,4.41,5.74,0.56,259,1.93,55.06,30.89,65.71,17.34,56,22192,2.52
"Durangocity,CO",361.75,12430,1.7,0.52,2561.8,11447,1.38,5.4,0.75,64,0.31,57.7,48.51,83.98,18.78,1,22996,2.85
"Aberdeencity,WA",525.42,16565,4.04,0.13,1510.9,11816,3.12,9.02,0.28,21,0.29,49.82,28.28,52.28,18.3,0,21762,2.73
"Sumtercity,SC",1462.29,41943,1.85,0.08,1780,11495,0.62,10.29,0.39,31,38.25,64.5,25.1,63.05,20.71,3,21221,4.65
"Burrillvilletown,RI",89.61,16230,2.06,0,281.9,13282,0.43,13.59,0,0,0.1,64.18,26.59,77.78,5.55,0,37156,1.71
"Derrytown,NH",227.32,29603,3.55,0,798.4,16990,0.54,3.83,0.13,0,0.93,76.11,26.44,75.05,3.79,0,43419,1.72
"Daniacity,FL",2649.8,13024,13.69,0.12,2442.6,13006,2.28,13.67,1.59,15,31.3,53.53,32.88,62.39,20.64,1,23269,8.7
"Salemcity,OH",46.52,12233,1.29,0,2570,11548,0.1,7.17,0.17,0,0.47,55.41,22.85,59.83,13.85,0,23684,0.86
"Greendalevillage,WI",74.62,15128,2.97,0,2608.5,19096,3.03,3.31,0.13,0,0.15,69.18,26.14,76.47,2.32,0,44735,0.72
"UnionCitycity,NJ",871.02,58012,55.09,0.37,44229.9,11089,27.8,28.42,8.05,189,5.11,60.52,37.55,60.06,18.18,25,25655,16.96
"FosterCitycity,CA",185.69,28176,22.51,0,7232,28399,3.93,1.67,4.24,0,3.23,76.17,32.2,72.33,2.95,0,60462,3.02
"NewBrunswickcity,NJ",1501.93,41711,16.76,0.29,7709.4,11252,12.35,15.92,4.14,105,29.58,57.84,61.76,73.06,21.96,17,28289,10.53
"Houmacity,LA",1450.47,30495,0.79,0.19,2172,9790,0.18,19.02,0,58,24.96,49.62,28.56,52.3,26.41,0,19397,7.19
"EastPaloAltocity,CA",2344.56,23451,30.01,0.52,8883,9968,8.38,21.02,6.21,57,42.94,61.09,45.54,70.88,17.55,64,29206,27.9
"Brentwoodcity,TN",64.88,16392,2.97,0,544.6,27417,0.45,0.72,0.68,0,1.59,66.76,21.3,56.24,1.39,0,70287,0.21
"LeagueCitycity,TX",129.64,30159,5.85,0.01,566.3,17932,1.2,3.66,0.47,0,5.13,74.05,24.64,67.24,4.92,2,45043,4.31
"NewIberiacity,LA",345.46,31828,2.4,0.01,3024.3,8740,0.29,23.72,0.24,2,33.32,49.77,30.07,65.39,28.67,0,18506,8.11
"Astontownship,PA",267.33,15080,2.38,0,2534.6,16176,1.82,6.68,0.05,0,0.36,67.85,27.77,77.18,3.15,0,44083,0.97
"GloucesterCitycity,NJ",160.93,12649,1.86,0.21,5549.8,12256,3.17,12.78,0.06,26,0.23,59.34,33.16,64.06,9.18,0,28998,2.11
"Shalertownship,PA",80.5,30533,2.68,0,2653.4,16029,6.1,5.82,0.38,0,0.22,62.67,24.86,67.81,2.95,0,36972,0.49
"Arnoldcity,MO",399.86,18828,0.57,0,1615.9,12689,0.79,13.23,0.04,0,0.14,67.52,25.33,74.27,5.38,0,34179,2.34
"Goshentownship,OH",69,12697,0.21,0,355.3,11216,0.78,12.41,0,0,0.44,65.42,22.51,68.66,8.41,0,31617,2.73
"Chestercity,PA",4877.06,41856,2.04,0.27,8345.8,9115,12.81,13.42,0.15,113,65.17,50.54,46.27,69.12,25.16,1,20864,5.91
"UnionCitycity,TN",919.02,10513,0.29,0,1158.3,11784,0,14.76,0,0,21.14,54.95,24.69,69.35,17.18,0,20745,2.28
"Tampacity,FL",3235.45,280015,7.96,0.2,2487.1,13277,3.3,11.47,0.71,423,25.05,60.13,34.1,70.03,19.44,140,22772,6.03
"Dallascity,TX",1744.19,1006877,12.5,0.15,2838.4,16300,6.68,12.32,1.94,1200,29.5,65.59,37.01,67.59,17.97,293,27489,9.76
"Searcycity,AR",76.49,15180,1.13,0,1076,11454,0.49,13.16,0.65,0,4.72,50.94,35.19,70.43,17.5,0,20859,1.49
"Bellinghamcity,WA",339.31,52179,7.11,0.28,2287.7,13698,3.14,5.02,1.11,131,0.79,61.09,41.41,69.73,16.68,13,24714,2.78
"BullheadCitycity,AZ",807,21951,4.01,0.04,491.9,12486,1.02,5.73,0.51,8,0.52,53.26,19.23,74.27,12.8,0,24814,4.62
"CulverCitycity,CA",932.05,38793,23.51,0.22,7336,21471,4.33,6.29,2.94,84,10.38,67.93,36.05,67.12,6.68,0,42971,8.5
"Newbergcity,OR",235.04,13086,4.52,0.14,3015.2,11413,0.68,7.77,0.62,18,0.24,64.72,27.29,68.88,10.71,0,26974,4.16
"Readingcity,PA",1195.53,78380,4.29,0.22,7732.5,11041,7.29,16.1,0.77,172,9.71,56.74,35.98,64.73,19.41,0,22112,4.07
"Rustoncity,LA",1293.95,20027,3.22,0,1118.3,9610,0.28,8.95,0.88,0,33.9,47.49,55.02,68.77,30.26,0,17826,3.42
"Richmondcity,CA",3239.2,87425,15.57,0.36,2838.8,14630,13.14,9.43,2.29,186,43.76,58.46,36.25,67.87,16.1,130,32165,9.88
"Methuentown,MA",364.19,39990,7.25,0,1722.8,15598,1.8,11.58,0.5,0,1.02,60.97,30.25,72.38,7.2,0,37701,2.08
"Florissantcity,MO",179.38,51206,1.36,0,4843.5,14914,1.02,7.89,0.17,0,4.06,65.89,26.27,71.67,3.29,0,36809,1.36
"WestFargocity,ND",43.37,12287,0.81,0,1674.9,11389,0.05,7.3,0,0,0.1,78.26,28.37,86.43,7.44,0,29661,2.14
"Douglascity,AZ",161.69,12822,34.29,0,2616.7,6619,0.17,36.43,5.55,0,1.07,40.11,31.2,52.44,43.13,0,14994,11.92
"Selmacity,AL",3268.26,23755,0.64,0.12,1647.8,8844,0.29,16.59,0.31,28,58.44,46.94,34.3,61.43,35.71,0,15917,5.78
"Nortoncity,OH",168.99,11475,1.59,0,552.6,13836,0.27,6.47,0.23,0,1.04,60.94,22.94,65.29,5.4,0,34198,1.42
"Missioncity,TX",178.75,28653,21.92,0,1990.9,6887,0.42,34.49,2.74,0,0.16,44.13,28.75,54.71,37.33,0,17489,21.68
"Middletownship,NJ",231.48,14771,2.97,0.18,200,13547,1.23,11.19,0.27,27,13.09,56.19,25.18,74.25,7.99,0,30524,2.73
"MountLaureltownship,NJ",103.28,30270,4.75,0,1339.6,23248,3.5,2.69,0.43,0,5.97,72.68,26.22,69.33,1.99,0,50843,0.64
"Greeleycity,CO",203.69,60536,4.71,0.18,2057.1,11461,0.67,11.86,0.94,107,0.67,62.52,35.98,71.54,19.46,0,23462,3.76
"CostaMesacity,CA",448.84,96357,21.57,0.26,5980.4,18750,3.03,7.4,4.74,225,1.33,74.47,42.3,70.72,9.17,26,40313,9.87
"LosAlamitoscity,CA",356.17,11676,12.18,0.2,2798.7,19361,0.15,5.09,1.04,23,3,68.04,33.88,68.55,4.38,0,45171,5.81
"SouthOrangeVillagetownship,NJ",672.35,16390,11.93,0,5529.7,30465,14.68,3.25,1.21,0,18.69,65.49,43.96,73.48,3.03,0,64338,1.26
"RedBluffcity,CA",981.2,12363,5.19,0.3,1641.4,9997,0,8.65,0.85,31,0.56,48.71,25.98,53.18,20.41,6,19474,6.61
"Plainfieldtown,IN",190.21,10433,0.8,0,2705.7,15307,0.11,3.42,0.21,0,0.44,67.82,20.95,75.54,4.59,0,34466,1.01
"Fredericksburgcity,VA",446.77,19027,2.89,0.38,1746.9,13825,2.15,11.51,0.82,13,21.63,61.46,40.56,74.18,12.29,60,26614,2.71
"Colleyvillecity,TX",31.75,12724,3.42,0,937,31967,0.27,2.33,0.78,0,0.67,70.71,19.78,58.75,1.25,0,77530,0.95
"Pittsburgcity,CA",868.12,47564,18.71,0.34,4222.7,13686,4.53,10.56,3.58,130,17.58,64.56,31.2,65.81,10.79,33,38532,11.08
"MissionViejocity,CA",225.56,72820,12.54,0,4027.7,24160,0.62,1.38,1.59,0,0.93,72.49,25.83,65.83,1.96,0,61058,2.89
"LongBeachcity,CA",1631.98,429433,24.25,0.11,8287.7,15639,6.3,11.53,4.82,394,13.68,62.93,41.43,57.56,16.82,66,31938,16.49
"Shelbycity,NC",1419.06,14669,1.14,0.12,1612.7,11889,0,16.77,0.15,17,42.5,54.03,30.17,72.71,19.27,0,19829,2.52
"Coronacity,CA",519.47,76095,18.68,0.09,2579.1,15292,0.73,10.42,3.33,56,2.76,68.96,29.4,65.63,8.31,9,43555,11.78
